id,smoker_prediction,smoker_probability
159256,0,0.48882914
159257,0,0.26657996
159258,0,0.46972924
159259,0,0.025849583
159260,1,0.5749336
159261,1,0.890425
159262,0,0.40130058
159263,0,0.08348861
159264,0,0.11213876
159265,0,0.038370937
159266,1,0.6531111
159267,0,0.14003749
159268,0,0.0036912006
159269,0,0.14597432
159270,0,0.0027842303
159271,1,0.62912256
159272,1,0.80919486
159273,1,0.70650506
159274,0,0.076601416
159275,0,0.39977932
159276,0,0.41114563
159277,1,0.82999533
159278,1,0.65958357
159279,1,0.6605927
159280,0,0.06945745
159281,1,0.8147614
159282,1,0.77514875
159283,1,0.71582025
159284,1,0.75934315
159285,0,0.0028059527
159286,1,0.74353415
159287,0,0.014464871
159288,0,0.26876414
159289,1,0.6320926
159290,0,0.49159303
159291,1,0.50453323
159292,0,0.049903512
159293,0,0.20540924
159294,0,0.2715961
159295,1,0.6593962
159296,1,0.84008014
159297,0,0.0061413716
159298,0,0.20017219
159299,0,0.0006743207
159300,0,0.017328607
159301,0,0.022262886
159302,0,0.099413596
159303,0,0.26218265
159304,0,0.34338665
159305,1,0.69738334
159306,1,0.68375474
159307,0,0.12620917
159308,0,0.40501094
159309,0,0.13211945
159310,0,0.46933356
159311,1,0.5978545
159312,0,0.32491958
159313,0,0.46384004
159314,1,0.5910148
159315,1,0.6779428
159316,0,0.01605406
159317,1,0.7086223
159318,0,0.3943616
159319,1,0.60058624
159320,1,0.64408964
159321,0,0.11462935
159322,1,0.7017603
159323,1,0.66897273
159324,0,0.17645942
159325,0,0.4515784
159326,1,0.5475718
159327,1,0.64704394
159328,1,0.5460938
159329,0,0.4919225
159330,0,0.019833002
159331,1,0.77072525
159332,0,0.012001435
159333,0,0.0008264025
159334,0,0.27486593
159335,0,0.11308209
159336,0,0.4888548
159337,1,0.594914
159338,0,0.34847215
159339,1,0.8789777
159340,1,0.60657614
159341,1,0.7636433
159342,1,0.7139717
159343,0,0.4980092
159344,0,0.27793273
159345,0,0.018127909
159346,1,0.6087872
159347,1,0.70729285
159348,1,0.68303645
159349,0,0.0028010109
159350,0,0.012530723
159351,1,0.75331545
159352,0,0.42001027
159353,0,0.43538383
159354,0,0.012876348
159355,1,0.7902495
159356,1,0.7854287
159357,1,0.82175535
159358,0,0.27381402
159359,1,0.5267697
159360,0,0.0716881
159361,1,0.78155845
159362,0,0.099601105
159363,1,0.6279582
159364,1,0.77862465
159365,1,0.758919
159366,0,0.007865633
159367,0,0.43667048
159368,0,0.4787844
159369,1,0.67278427
159370,0,0.41346535
159371,0,0.37827674
159372,0,0.1250625
159373,1,0.77484095
159374,0,0.49141386
159375,1,0.8729879
159376,1,0.76030755
159377,0,0.0016906672
159378,1,0.8063952
159379,0,0.30239943
159380,0,0.04056713
159381,0,0.029636476
159382,1,0.50175005
159383,0,0.018358512
159384,1,0.5724608
159385,0,0.011877568
159386,1,0.58092123
159387,1,0.84685796
159388,1,0.70096993
159389,0,0.0020217078
159390,1,0.7135228
159391,0,0.47415873
159392,1,0.7331664
159393,0,0.014806622
159394,0,0.22646268
159395,1,0.7540921
159396,1,0.76943135
159397,1,0.60988027
159398,1,0.76788294
159399,1,0.79922086
159400,1,0.5994053
159401,1,0.7288019
159402,0,0.015702514
